Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы
SeDelice,Пекарня,Адрес не указан (см. координаты),+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8077601,37.5803179,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-21:00
Белая обезьяна,Кофейня/Кафе,"улица Маршала Катукова, вл33",+7 968 859-55-00,https://white-monkey.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8032694,37.4222727,
Охотка,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 1174435,http://okhotka.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.757533,37.6366603,Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 12:00-24:00; Su 12:00-23:00
Хлебница,Пекарня,Адрес не указан (см. координаты),+7 926 3328169,https://hlebnitca.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8074475,37.5786908,Mo-Su 07:00-22:00
Levin bakehouse,Пекарня,Адрес не указан (см. координаты),+7 963 9607373,https://levinbh.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.875356,37.6022562,Mo-Su 09:00-22:00
Terrapieno,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 3359583,https://www.instagram.com/pizzaterrapieno/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7372959,37.640056,Mo-Fr 10:00-23:00; Sa-Su 11:00-23:00
Blau,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 3693980,https://www.instagram.com/blau.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7470136,37.6278718,Mo-Su 10:00-23:00
CofeFest,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2121059, +7 968 0220208",https://cofefest.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7757431,37.6718025,Mo-Su 08:00-22:00
Prime,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6642363,https://www.prime-star.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6564353,37.527732,Mo-Fr 07:45-20:00
Stoleshnikov,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6642363,https://stoleshnikov.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7222409,37.6512475,Mo-Fr 08:00-19:00
Stoleshnikov,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6642363,https://stoleshnikov.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8052247,37.5215015,Mo-Fr 08:00-19:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 4861242,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7075844,37.4567217,Mo-Su 10:00-22:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 0111393,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7388271,37.4118769,Mo-Su 09:00-22:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 0791126,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7782143,37.6020867,24/7
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 991 3106859,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.695783,37.4984488,Mo-Su 10:00-22:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 929 9931725,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7067953,37.5932568,Mo-Su 10:00-22:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 925 6151190, +7 926 8588582",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6923274,37.5285834,Mo-Su 10:00-22:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 0111393,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7107077,37.6752895,Mo-Su 10:00-22:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 925 6151190, +7 925 9253250",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7770919,37.5234577,Mo-Su 10:00-22:00
Degtyarny,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 9172773,https://www.instagram.com/degtyarny/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7680612,37.6018108,Mo-Fr 07:30-21:00; Sa-Su 09:30-21:00
Gorilla by Баста,Кофейня/Кафе,Адрес не указан (см. координаты),+7 910 0011112,https://gorillabybasta.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7616666,37.6328559,Mo-Su 11:30-24:00
SeDelice,Пекарня,Адрес не указан (см. координаты),+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7409226,37.6286919,Mo-Fr 08:00-22:00; Sa 08:00-22:00; Su 09:00-21:00
Буфетрина,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 903 1086901, +7 915 1079659",http://www.bufetrina.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7528381,37.6675943,
Shwarm,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2958562,http://shwarm.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7436384,37.5056425,Mo-Su 09:00-23:00
Prosvet,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 6063659,http://instagram.com/prosvetcoffee,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7546358,37.6256038,Mo-Fr 10:00-22:00; Sa-Su 10:30-22:00
Footbe,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 5404967,https://instagram.com/footbe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7866473,37.5830563,Mo-Su 09:00-21:00
Совиный дом,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 5561775,http://owldom.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7911962,37.633848,
Хинкали-Гали,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 9588978,http://hinkaligali.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8419974,37.3727645,Mo-Su 12:00-23:00
Фарфор,Кофейня/Кафе,"Юбилейная улица, 3А",+7 903 1992244,https://farfor.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.5086844,37.5655522,Mo-Su 11:00-23:59
Дон-Пиццерон,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2080797,http://www.don-pizzeron.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8346625,37.3561107,Mo-Su 11:00-23:00
Литали,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 4898855,https://cafe-litaly.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7740816,37.6397113,24/7
Baggins Coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 6007015,http://bagginscoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7028962,37.6485533,Mo-Fr 08:00-19:00;Sa-Su 10:00-19:00
Карамельная мануфактура,Кондитерская,Адрес не указан (см. координаты),+7 495 1421713,http://www.caramelmanufacture.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8364328,37.625191,
Street9 Coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 977 1410592,https://www.instagram.com/street9coffee/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7137775,37.6593829,Mo-Su 08:00-21:00
Сыто Piano,Кофейня/Кафе,Адрес не указан (см. координаты),+7 977 8003701,http://sito-piano.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7586445,37.6414816,"Mo-Su 00:00-06:00,11:00-24:00"
Eggsellent,Кофейня/Кафе,"Большая Садовая улица, 5 к1",+79267547589,https://eggsellent.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7690006,37.5920539,Mo-Su 08:00-18:00
Ставр,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 7852159,http://stavrcafe-sokolniki.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7918424,37.6929331,
Дай пять!,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 9883245,https://www.instagram.com/highfive_mitino/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8445783,37.3718179,
Нитка,Кофейня/Кафе,Адрес не указан (см. координаты),+79065373146,https://nitkatea.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7356401,37.624091,Mo-Su 10:00-21:00
Crosby Coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 999 8010168,https://crosbycoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7735074,37.6653657,Mo-Fr 08:00-18:00
Crosby Coffee Company,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1839958,https://crosbycoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.693334,37.660644,Mo-Fr 08:00-17:30
Crosby Coffee Company,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 903 6138551, +7 965 1839958, +7 968 5528992",https://crosbycoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6944587,37.5290608,Mo-Fr 08:00-22:00;Sa-Su 10:00-22:00
Crosby Coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 999 8010168,https://crosbycoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7583313,37.7583468,Mo-Fr 08:00-20:00; Sa-Su 09:00-20:00
Вспышка,Кофейня/Кафе,Адрес не указан (см. координаты),+7 (985) 244 - 73 - 13,https://vspyshka.coffee/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7759978,37.6724583,Mo-Sa 10:00-22:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 5798830,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8469509,37.3576921,24/7
Наша булочная,Пекарня,Адрес не указан (см. координаты),+7 925 1195415,https://nashabulochnaya.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7845486,37.6373497,Mo-Su 10:00-21:00
Yug,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 99 16 900,https://www.yug.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8057929,37.5843734,Mo-Su 11:00-23:00
МясоRoob,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 5008393,https://myasoroob.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6512726,37.6127243,Mo-Su 10:00-22:00
МясоRoob,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 5008393,https://myasoroob.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.623695,37.421735,Mo-Su 10:00-22:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2725237,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7776789,37.6332837,Mo-Su 08:00-23:00
Лорэм,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 3363068,https://loremcafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.645849,37.5174553,"Mo-Th,Sa-Su 19:00-06:00; Fr 17:00-06:00"
SeDelice,Пекарня,Адрес не указан (см. координаты),+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.819431,37.57355,
Пицца Императрица,Кофейня/Кафе,"Лухмановская улица, 17",+7 495 10 55 343,https://empresspizza.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7205682,37.8996088,Mo-Su 11:00-23:00
SeDelice,Пекарня,Адрес не указан (см. координаты),+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7268677,37.6262292,07:00-22:00
Q Lounge,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 0322366,https://qlounge-msk.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6534261,37.4219683,Fr 13:00-04:00;Mo-Th 13:00-02:00;Sa 15:00-04:00;Su 15:00-02:00
Aioku,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 0808210,https://aioku.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.686311,37.858434,Mo-Su 10:00-23:00
Август 13,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 985 2220364, +7 495 2220364",https://avgust13.ru/timireazevskaya/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8172791,37.5732127,Mo-Su 10:00-22:00
Кофе для души,Кофейня/Кафе,Адрес не указан (см. координаты),+7 (495) 729-48-17,https://music4soul.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.668329,37.5602643,Mo-Su 08:00-20:00
Жучки-паучки,Кофейня/Кафе,Адрес не указан (см. координаты),+7-495-7603321,https://bugcafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8096825,37.5220603,Mo-Su 11:00-22:00
Пицца Паоло,Пекарня,Адрес не указан (см. координаты),8 800 3333904,https://pizzapaolo.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.615986,37.2636671,Mo-Su 10:00-23:00
Lila Pastry,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 607 10 01,https://gt.life/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7694627,37.6324922,Mo-Su 09:00-22:00
SeDelice,Пекарня,Адрес не указан (см. координаты),+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7680149,37.6476775,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-21:00
Le Procope Du Matin,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 5188611,https://www.procope.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7714116,37.6033447,"Mo-Fr 06:00-16:00; Sa,Su 08:00-12:00"
Comme A Paris,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 910 4520508, +7 916 0663469",https://commeaparis.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7000516,37.5018579,Mo-Su 09:00-21:00
Фантазеры,Кофейня/Кафе,Адрес не указан (см. координаты),+7(985)-04-25-252,http://fantazery.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6945368,37.5578876,Mo-Fr 08:00-23:00; Sa-Su 09:00-23:00
Meat Crew,Кофейня/Кафе,"улица Грузинский Вал, 11 с4",+7 495 0014651,https://meatcrew.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.773875,37.5776626,Mo-Su 12:00-23:00
Eleven,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 1898828,https://eleven.lucky-group.rest/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7524617,37.6021251,Mo-Su 08:00-23:00
Нейборс,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 1097596,https://neibors.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8474344,37.6395974,Mo-Su 11:00-23:00
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 5798830, +7 980 9882486",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8627076,37.4710192,Mo-Su 10:00-22:00
Антикафе Сфера,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6077725,anticafesfera.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7718465,37.6365973,Mo-Su 11:00-24:00
Пять звёзд,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1246523,http://pzmmoscow.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7694845,37.6412147,Mo-Fr 08:30-17:00
Трактир,Кофейня/Кафе,Адрес не указан (см. координаты),+7 964 7692351,http://www.traktir-sokol.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8039678,37.4987579,
La Poste,Пекарня,Адрес не указан (см. координаты),+7 991 332 56 36,https://www.instagram.com/laposte.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7626671,37.634595,Mo-Su 08:00-21:00
Скалка,Кофейня/Кафе,Адрес не указан (см. координаты),+7 (910) 087-40-06,https://pirogi-skalka.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6695297,37.5193401,Mo-Su 08:00-22:00
Инжир,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 0126971,https://www.chaihana-injir.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8026053,37.5825414,Mo-Su 11:00-24:00
Хинкальная,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 5006971,https://www.hinkalnaya-sochi.com/moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.802496,37.582701,Mo-Su 11:00-24:00
Frank by Баста,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2281808,https://frankmeat.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7438407,37.6277862,"Fr-Sa 12:00-03:00; Mo-Th,Su 12:00-24:00"
SeDelice,Пекарня,Адрес не указан (см. координаты),+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7592287,37.6581867,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-21:00
Каравай СВ,Пекарня,Адрес не указан (см. координаты),"+7 929 6583269, +7 495 6176389, +7 800 6004611",http://www.karavay-sv.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9761747,37.156842,
СушиВёсла,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 5503030,https://сушивесла.рф,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9827243,37.1752768,Mo-Su 10:00-22:00
Каравай СВ,Пекарня,Адрес не указан (см. координаты),+7 926 4499660,http://www.karavay-sv.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8642391,37.4744841,Mo-Su 09:00-21:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 903 5623510",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6122201,37.6067188,Mo-Su 10:00-22:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5080583",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7438347,37.5084266,Mo-Su 10:00-22:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088907",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7909694,37.5293933,"Fr-Sa 10:00-23:00; Mo-Th,Su 10:00-22:00"
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 968 0913135",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8238609,37.4975047,Mo-Su 10:00-23:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5090452",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.603871,37.4909572,Mo-Su 10:00-22:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088616",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.705801,37.593825,Mo-Su 09:00-22:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088936",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6904207,37.6017246,Mo-Su 11:00-22:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088730",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.845536,37.660038,Mo-Su 10:00-22:00
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5080628",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7094822,37.6221737,Mo-Su 10:00-22:00
эZо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 7408272,https://ezo-restoran.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7496802,37.540129,"Fr-Sa 10:00-23:00; Mo-Th,Su 10:00-22:00"
+39,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 9503939,https://www.instagram.com/39.pizzeria.mozzarellabar/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7641102,37.5687727,Mo-Su 12:00-22:00
Булка,Пекарня,Адрес не указан (см. координаты),+7 495 2307017,http://www.bulkabakery.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7406814,37.6228443,"Mo-Fr 07:30-23:00; Sa,Su 08:30-23:00"
Coffee Moose,Кофейня/Кафе,Адрес не указан (см. координаты),+7 929 9031277,https://coffee-moose.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.824036,37.5179429,Mo-Su 10:00-22:00
Буркина Фасоль,Кофейня/Кафе,Адрес не указан (см. координаты),84991374940,http://burkina-fasol.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.661463,37.4200946,Mo-Su 08:00-23:00
Niqa,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 2799663,https://niqa.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7600654,37.601337,Mo-Su 09:00-24:00
Krendelcom,Кондитерская,Адрес не указан (см. координаты),+7 917 588 4308,http://krendelcom.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8027674,37.5915349,
Gregori,Кофейня/Кафе,"Ленинградское шоссе, 9 к1",+7 916 3353566,https://italian-food.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8171683,37.4982234,Mo-Su 10:00-21:00
Urban eats,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 5108343,https://instagram.com/10x_urbaneats,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7679523,37.6348659,Mo-Fr 09:00-21:00; Sa 11:00-21:00
SeDelice,Пекарня,Адрес не указан (см. координаты),+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6785693,37.5642968,
