Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы,Is_Mobile
La Poste,Пекарня,Адрес не указан (см. координаты),+7 991 332 56 36,https://www.instagram.com/laposte.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7626671,37.634595,Mo-Su 08:00-21:00,True
Инжир,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 0126971,https://www.chaihana-injir.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8026053,37.5825414,Mo-Su 11:00-24:00,True
Хинкальная,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 5006971,https://www.hinkalnaya-sochi.com/moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.802496,37.582701,Mo-Su 11:00-24:00,True
Каравай СВ,Пекарня,Адрес не указан (см. координаты),"+7 929 6583269, +7 495 6176389, +7 800 6004611",http://www.karavay-sv.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9761747,37.156842,,True
Каравай СВ,Пекарня,Адрес не указан (см. координаты),+7 926 4499660,http://www.karavay-sv.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8642391,37.4744841,Mo-Su 09:00-21:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 903 5623510",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6122201,37.6067188,Mo-Su 10:00-22:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5080583",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7438347,37.5084266,Mo-Su 10:00-22:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088907",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7909694,37.5293933,"Fr-Sa 10:00-23:00; Mo-Th,Su 10:00-22:00",True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 968 0913135",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8238609,37.4975047,Mo-Su 10:00-23:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5090452",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.603871,37.4909572,Mo-Su 10:00-22:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088616",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.705801,37.593825,Mo-Su 09:00-22:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088936",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6904207,37.6017246,Mo-Su 11:00-22:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088730",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.845536,37.660038,Mo-Su 10:00-22:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5080628",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7094822,37.6221737,Mo-Su 10:00-22:00,True
эZо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 7408272,https://ezo-restoran.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7496802,37.540129,"Fr-Sa 10:00-23:00; Mo-Th,Su 10:00-22:00",True
+39,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 9503939,https://www.instagram.com/39.pizzeria.mozzarellabar/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7641102,37.5687727,Mo-Su 12:00-22:00,True
Coffee Moose,Кофейня/Кафе,Адрес не указан (см. координаты),+7 929 9031277,https://coffee-moose.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.824036,37.5179429,Mo-Su 10:00-22:00,True
Niqa,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 2799663,https://niqa.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7600654,37.601337,Mo-Su 09:00-24:00,True
Krendelcom,Кондитерская,Адрес не указан (см. координаты),+7 917 588 4308,http://krendelcom.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8027674,37.5915349,,True
Gregori,Кофейня/Кафе,"Ленинградское шоссе, 9 к1",+7 916 3353566,https://italian-food.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8171683,37.4982234,Mo-Su 10:00-21:00,True
Raw to go,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 0144634,https://www.instagram.com/rawtogomsk/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7632429,37.5932662,Mo-Su 10:00-22:00,True
Dobryakova bakery,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 5919955,https://www.instagram.com/dobryakova_bakery/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7560948,37.602534,"Mo-Fr 08:00-20:00; Sa,Su 10:00-21:00",True
Каскара,Кофейня/Кафе,Адрес не указан (см. координаты),+7 995 9236651,https://www.instagram.com/cafe_cascara,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6057417,37.6635046,,True
Маковка,Пекарня,"Сходненская улица, 35 к1",+7 910 482-79-20,https://www.instagram.com/makovkalive,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8485001,37.4391149,Mo-Su 08:00-22:00,True
Чихо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 4676664,https://chiho.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7672484,37.6066317,Fr 11:00-24:00; Mo-Th 11:00-23:00; Sa 12:00-24:00; Su 12:00-23:00,True
J'pan,Кофейня/Кафе,Адрес не указан (см. координаты),+7 917 5315508,https://jpan.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7621328,37.634394,Su-Th 11:00-23:00; Fr-Sa 11:00-00:00,True
Will taste,Кофейня/Кафе,Адрес не указан (см. координаты),+7 995 1514503,https://www.instagram.com/will_taste_cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7377788,37.6416018,Mo-Su 09:00-21:00,True
J'pan,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 1301368,https://www.instagram.com/jpan.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7545188,37.6374771,Mo-Su 10:00-23:00,True
Здрасте,Кофейня/Кафе,Адрес не указан (см. координаты),+7 999 1797979,https://zdrastecafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6028835,37.7328698,Mo-Su 08:00-22:00,True
Остров мечты,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 330-74-43,https://dreamislandboats.taplink.ws/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6984207,37.6714379,Mo-Fr 12:00-21:00; Sa-Su 10:00-22:00,True
4friends Coffee,Кофейня/Кафе,"Осенний бульвар, 10 к1",+7 926 1067269,https://4-hands.ru/4-friends-coffee/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7567253,37.4089813,Mo-Fr 08:00-20:00; Sa-Su 09:00-21:00,True
Vivian's,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 9217744,https://vivianscafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7547089,37.6346167,"Fr-Sa 09:00-02:00; Mo-Th,Su 09:00-23:00",True
Стейк & Бургер,Кофейня/Кафе,Адрес не указан (см. координаты),+7 910 3075660,https://miratorg.ru/burger-n-fries/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7036367,37.5166449,Mo-Su 10:00-22:30,True
Бахетле,Пекарня,Адрес не указан (см. координаты),"88002000790, 89673783976",https://bahetle.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7896739,37.5336045,"Fr-Sa 10:00-23:00; Mo-Th,Su 10:00-22:00",True
Старая Школа,Кофейня/Кафе,Адрес не указан (см. координаты),+7 999 8778788,https://instagram.com/oldsc_traktir?igshid=YmMyMTA2M2Y=,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7862113,37.601113,"Mo-Su 11:00-23:00; Fr,Sa 11:00-02:00",True
Белые Облака,Кофейня/Кафе,Адрес не указан (см. координаты),+7 991 709-15-85,https://cafebelyeoblaka.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7586609,37.6415625,Mo-Su 10:00-22:00,True
Pizzamento,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 0024545,https://pizzamento.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7640701,37.6075554,Mo-Su 12:00-24:00,True
Буханка,Пекарня,Адрес не указан (см. координаты),+7 903 144-00-93,https://buhanka.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6384635,37.3080773,08:00-22:00,True
Burger Heroes,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 0911967,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7421742,37.652973,"Mo-Th,Su 11:00-23:00; Fr-Sa 11:00-23:45",True
#coffeeLab21,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 3854276,https://coffeelab21.business.site/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8513135,37.4369102,,True
КотоБюро,Кофейня/Кафе,Адрес не указан (см. координаты),+7 910 0007985,https://kotoburo.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7656331,37.5888205,Mo-Su 10:00-21:00,True
Кофеин,Кофейня/Кафе,"Никольская улица, 11-13 с5",+7 909 9459108,https://www.gkvinegret.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7570421,37.6220902,"Fr-Sa 08:00-23:00; Mo-Th,Su 08:00-22:00",True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 6851122,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.524413,37.517581,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 4604139,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6435021,37.3980457,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 0557747,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.863336,37.6020196,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 977 3555250,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6856823,37.854099,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 4426469,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8107399,37.8009483,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 4782291,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.780231,37.5931469,"Fr-Sa 10:00-24:00;Mo-Th,Su 10:00-23:00",True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 5798830, +7 991 3106862",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6974457,37.500498,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 5798830, +7 906 7500607",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.606443,37.5363082,Mo-Su 10:00-22:00,True
Кафе Сити Чебуречная,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 742 62 26,cafecitycheburechnaya,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7776563,37.5250393,Mo-Su 11:00-23:00,True
Korean Chick,Кофейня/Кафе,Адрес не указан (см. координаты),+79687300030,https://koreanchick.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7702171,37.6836688,Mo-Sa 10:00-22:00,True
LocalKids,Кофейня/Кафе,Адрес не указан (см. координаты),+79671597575,https://instagram.com/localkidscafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6254537,37.3434663,Mo-Su 09:00-22:00,True
Everest coffee,Кофейня/Кафе,"Сходненская улица, 50",+7 985 225-50-50,https://www.instagram.com/everest_coffee_msk,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8477797,37.4405356,Mo-Th 08:00-22:00; Fr 08:00-23:00; Sa-Su 09:00-23:00,True
Ra'men,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 985 2263333, +7 985 2342624",https://ramen.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.755278,37.665474,Mo-Su 12:00-24:00,True
Сундук,Кофейня/Кафе,"Походный проезд, 23",+79670257127,https://sunduk.familycooks.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8428946,37.4228728,Mo-Sa 12:00-20:00,True
Кофе Вай,Кофейня/Кафе,Адрес не указан (см. координаты),+79528661841,http://coffeevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.5503375,37.5576394,Mo-Su 10:00-21:00,True
Здрасте,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 2229727,https://zdrastecafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6620354,37.7339151,Mo-Su 08:00-22:00,True
Лепим и варим,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 3405325,https://lepimivarim.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7304012,37.637925,Mo-Su 10:00-22:00,True
Чевапи гриль,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 2220476,https://cevapigrill.2gis.biz,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7194993,37.6077569,Mo-Su 11:00-23:00,True
Биджо,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 3933343, +7 925 3251515",https://bistrobidjo.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.67896,37.565343,Mo-Su 11:00-23:00,True
CofeFest,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2121059, +7 968 0209923",https://cofefest.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7988356,37.5810313,Mo-Fr 08:00-19:00,True
CofeFest,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2121059, +7 968 0220109",https://cofefest.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6557459,37.5686824,Mo-Fr 08:00-19:00,True
CofeFest,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2121059, +7 968 0220785",https://cofefest.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7636669,37.794165,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 09:00-17:00,True
CofeFest,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2121059, +7 968 0220736",https://cofefest.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7012487,37.7794638,Mo-Fr 08:00-19:00,True
CofeFest,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2121059, +7 968 0220748",https://cofefest.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6239844,37.4887741,Mo-Fr 07:30-19:00,True
На углях,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 3307777,https://nauglax.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8641778,37.5854749,Mo-Su 10:00-22:00,True
Roaster coffee,Кофейня/Кафе,"Долгоруковская улица, 32",+7 925 969-36-35,https://www.roaster-coffee.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7768996,37.6029584,Mo-Th 08:00-22:00; Fr 08:00-23:00; Sa 10:00-23:00; Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 5505595,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.878788,37.4791315,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 1590899,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8972703,37.6046482,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 5374358,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6999353,37.7654278,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 5798830, +7 919 9952162",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7517256,37.8205552,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 5798830, +7 903 5749392",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7911337,37.5594851,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 7446861,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8017121,37.2997241,Mo-Su 09:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 1935421,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7720607,37.4342743,Mo-Su 10:00-21:00,True
Burger Heroes,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 0911968,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7910785,37.5596259,Mo-Su 10:00-22:00,True
Burger Heroes,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 8331876,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8361347,37.6247668,Mo-Su 11:00-22:00,True
Пекарня Жирнова,Пекарня,Адрес не указан (см. координаты),+79269107977,https://zhirnova.net/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8154841,37.5152133,Sa 09:00-19:00; Su-Fr 09:00-18:00,True
Карти,Кофейня/Кафе,Адрес не указан (см. координаты),+7 917 1237764,https://www.instagram.com/kartifry/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7641106,37.6292172,Mo-Su 12:00-22:00,True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5088523",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7495041,37.539788,"Fr-Sa 10:00-23:00; Mo-Th,Su 10:00-22:00",True
Gagawa,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7954770, +7 964 5080729",https://gagawa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6217404,37.7134354,Mo-Su 10:00-22:00,True
Пироги Бабы Яги,Пекарня,Адрес не указан (см. координаты),+7 985 7516669,https://pirogibabyagi.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.78799,37.7102659,"Mo-Fr 08:00-17:00; Sa,Su 09:00-17:00",True
Понички,Кофейня/Кафе,Адрес не указан (см. координаты),+7 906 7806151,https://ponichki.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8539651,37.476357,Mo-Su 09:00-21:00,True
Ra'men,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 985 2263333, +7 985 2303031",https://ramen.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7617678,37.6330803,Mo-Su 12:00-24:00,True
Совиный Дом,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 1119514,https://vdnh.owldom.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8350056,37.6299156,Mo-Su 11:00-23:00,True
Пицца и вино,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 2542182,https://menu-pizza-and-vino.tilda.ws,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.784518,37.6563645,Mo-Su 11:00-23:00,True
Ёж и устрица,Кофейня/Кафе,Адрес не указан (см. координаты),+7 993 3509191,https://ezhiustrica.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7801285,37.5936363,"Fr-Sa 10:00-02:00; Mo-Th,Su 10:00-23:00",True
Ёж и устрица,Кофейня/Кафе,Адрес не указан (см. координаты),+7 995 1160220,https://ezhiustrica.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8036418,37.5910037,Mo-Su 12:00-24:00,True
Ёж и устрица,Кофейня/Кафе,Адрес не указан (см. координаты),+7 995 1162424,https://ezhiustrica.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7371195,37.6494273,Mo-Su 12:00-24:00,True
Ашлянфу,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 3134053,https://ashlyanfu-msk.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7947681,37.698776,Mo-Su 10:00-24:00,True
Pizzamento,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 9204545,https://pizzamento.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7545864,37.5501806,Mo-Su 10:00-21:00,True
Монастырская кухня,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 7044026,https://монастырскийдворик.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7914917,37.7166614,Tu-Su 09:00-19:00; Mo 10:00-18:00,True
Здрасте,Кофейня/Кафе,Адрес не указан (см. координаты),+7 977 4441124,https://zdrastecafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.617531,37.408614,Mo-Su 08:00-22:00,True
Здрасте,Кофейня/Кафе,Адрес не указан (см. координаты),+7 995 9051635,https://zdrastecafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6037025,37.4120253,Mo-Su 08:00-22:00,True
Здрасте,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 7774220,https://zdrastecafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.5548092,37.5539571,Mo-Su 08:00-22:00,True
Пекарня Папан,Пекарня,Адрес не указан (см. координаты),+7 929 6303195,http://papan-bakery.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8756644,37.6374167,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00",True
ПаПан,Пекарня,Адрес не указан (см. координаты),+7 916 4845373,http://papan-bakery.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8031744,37.5636895,"Mo-Fr 08:00-22:00; Sa,Su 10:00-22:00",True
